iter	Passed	Remaining
0	28	14069
1	58	14556
2	86	14382
3	108	13457
4	117	11668
5	152	12539
6	237	16714
7	292	17986
8	414	22590
9	472	23169
10	576	25641
11	663	26990
12	698	26157
13	714	24815
14	743	24043
15	777	23524
16	804	22866
17	834	22349
18	850	21520
19	877	21062
20	908	20714
21	942	20487
22	972	20169
23	1003	19907
24	1027	19518
25	1054	19219
26	1077	18872
27	1106	18652
28	1125	18275
29	1154	18089
30	1184	17920
31	1216	17788
32	1248	17661
33	1277	17509
34	1308	17387
35	1320	17014
36	1347	16865
37	1375	16725
38	1406	16622
39	1451	16694
40	1482	16593
41	1505	16413
42	1535	16315
43	1565	16219
44	1595	16128
45	1624	16028
46	1656	15961
47	1685	15870
48	1715	15785
49	1742	15684
50	1773	15615
51	1820	15685
52	1850	15609
53	1885	15574
54	1896	15345
55	1933	15327
56	1966	15285
57	1978	15077
58	2015	15067
59	2045	14997
60	2088	15032
61	2144	15149
62	2179	15117
63	2192	14938
64	2220	14857
65	2245	14763
66	2270	14673
67	2301	14620
68	2319	14488
69	2345	14410
70	2373	14340
71	2400	14267
72	2429	14211
73	2478	14269
74	2526	14317
75	2558	14276
76	2634	14470
77	2680	14504
78	2707	14428
79	2732	14345
80	2764	14301
81	2779	14169
82	2795	14042
83	2823	13981
84	2850	13918
85	2880	13867
86	2910	13816
87	2939	13761
88	2966	13699
89	3014	13734
90	3044	13681
91	3073	13629
92	3129	13697
93	3187	13767
94	3233	13785
95	3272	13772
96	3328	13827
97	3352	13753
98	3397	13761
99	3457	13830
100	3501	13832
101	3514	13714
102	3608	13907
103	3739	14237
104	3813	14345
105	3900	14497
106	3939	14467
107	3983	14459
108	4118	14774
109	4216	14948
110	4338	15205
111	4381	15178
112	4423	15147
113	4455	15087
114	4485	15018
115	4516	14951
116	4527	14820
117	4554	14745
118	4584	14679
119	4619	14628
120	4646	14552
121	4725	14641
122	4803	14724
123	4828	14641
124	4910	14732
125	4983	14791
126	5042	14809
127	5084	14777
128	5132	14759
129	5148	14654
130	5214	14688
131	5299	14774
132	5358	14785
133	5393	14730
134	5422	14661
135	5455	14601
136	5492	14552
137	5530	14507
138	5564	14452
139	5611	14428
140	5651	14388
141	5684	14331
142	5701	14233
143	5737	14184
144	5765	14114
145	5778	14011
146	5819	13973
147	5852	13918
148	5905	13911
149	5952	13889
150	5992	13851
151	6022	13787
152	6057	13738
153	6093	13690
154	6137	13659
155	6173	13612
156	6207	13562
157	6219	13463
158	6254	13414
159	6290	13366
160	6322	13312
161	6358	13266
162	6385	13202
163	6412	13137
164	6438	13073
