iter	Accuracy	Logloss
0	0.7878787879	0.6662058943
1	0.7929292929	0.6441748335
2	0.797979798	0.625198838
3	0.7912457912	0.6118555971
4	0.7912457912	0.6015693283
5	0.7912457912	0.584822575
6	0.7912457912	0.5700956565
7	0.7912457912	0.5568354455
8	0.7962962963	0.5446883037
9	0.797979798	0.529244766
10	0.803030303	0.5170953548
11	0.8047138047	0.5046171577
12	0.8013468013	0.4963644982
13	0.8047138047	0.491930678
14	0.8047138047	0.4854054979
15	0.8114478114	0.4754973108
16	0.8114478114	0.4693095776
17	0.8114478114	0.4630210984
18	0.8097643098	0.4615700424
19	0.8097643098	0.4571499531
20	0.8114478114	0.4532540791
21	0.8114478114	0.4488086116
22	0.8148148148	0.4444200019
23	0.8148148148	0.4393292678
24	0.8181818182	0.437320235
25	0.8181818182	0.4327599092
26	0.8148148148	0.4307667563
27	0.8181818182	0.4291977797
28	0.8249158249	0.428652251
29	0.8215488215	0.42505005
30	0.8249158249	0.4188271129
31	0.8316498316	0.416225963
32	0.8333333333	0.4139296499
33	0.8383838384	0.4107937908
34	0.8383838384	0.4077990114
35	0.8417508418	0.407476898
36	0.8468013468	0.4034787228
37	0.8468013468	0.3980707574
38	0.8484848485	0.3955475751
39	0.8501683502	0.3938555387
40	0.8535353535	0.3913758085
41	0.8552188552	0.3909654011
42	0.8552188552	0.3884625783
43	0.8518518519	0.3846043535
44	0.8518518519	0.3820862426
45	0.8518518519	0.380599501
46	0.8552188552	0.3767833977
47	0.8535353535	0.3747784929
48	0.8569023569	0.372930524
49	0.8552188552	0.3708258447
50	0.8569023569	0.3698653144
51	0.8585858586	0.3668680028
52	0.861952862	0.363296058
53	0.8636363636	0.3618593302
54	0.8636363636	0.3616142079
55	0.8602693603	0.361137889
56	0.8636363636	0.3597210619
57	0.8636363636	0.3591305879
58	0.8653198653	0.3560189598
59	0.867003367	0.3549444182
60	0.867003367	0.3540927572
61	0.867003367	0.3530286926
62	0.867003367	0.352295002
63	0.867003367	0.3518859569
64	0.867003367	0.3508076653
65	0.867003367	0.3501465705
66	0.8703703704	0.3495913022
67	0.8737373737	0.3483608498
68	0.8737373737	0.3481870977
69	0.8737373737	0.3466518687
70	0.8737373737	0.346074122
71	0.8737373737	0.3439246917
72	0.8737373737	0.3433160949
73	0.8737373737	0.3429174986
74	0.8754208754	0.3419745889
75	0.8737373737	0.3414507468
76	0.8737373737	0.3411532504
77	0.8787878788	0.3395891206
78	0.8787878788	0.3393761148
79	0.8804713805	0.3387921603
80	0.8787878788	0.3375661532
81	0.8787878788	0.3374062375
82	0.8787878788	0.3373753826
83	0.8787878788	0.3360152012
84	0.8771043771	0.33370089
85	0.8771043771	0.3323104035
86	0.8787878788	0.3312963113
87	0.8804713805	0.3301334839
88	0.8821548822	0.3282281587
89	0.8821548822	0.3260953982
90	0.8821548822	0.3250360547
91	0.8855218855	0.323460792
92	0.8855218855	0.3213872232
93	0.8855218855	0.3195116817
94	0.8855218855	0.3189960869
95	0.8855218855	0.3181747653
96	0.8872053872	0.3172331201
97	0.8872053872	0.3171510139
98	0.8872053872	0.3163888732
99	0.8872053872	0.3140818948
100	0.8872053872	0.3135301776
101	0.8872053872	0.313396643
102	0.8872053872	0.3123502716
103	0.8872053872	0.3103089319
104	0.8872053872	0.309425131
105	0.8872053872	0.3083632142
106	0.8872053872	0.3076975826
107	0.8872053872	0.3061134614
108	0.8872053872	0.3048132676
109	0.8872053872	0.3046105808
110	0.8888888889	0.3037891308
111	0.8905723906	0.3030410023
112	0.8922558923	0.3024173702
113	0.8922558923	0.3010840795
114	0.8922558923	0.3002239717
115	0.8905723906	0.2992531758
116	0.8922558923	0.2992318629
117	0.8922558923	0.2978041768
118	0.8922558923	0.2973235601
119	0.8922558923	0.2966987506
120	0.8939393939	0.2966679704
121	0.8922558923	0.2955076602
122	0.8922558923	0.295092644
123	0.8922558923	0.2949826223
124	0.8939393939	0.2935944272
125	0.8973063973	0.2917568912
126	0.898989899	0.2914088104
127	0.898989899	0.2909398799
128	0.8973063973	0.2896316163
129	0.8973063973	0.2896280285
130	0.898989899	0.2886185519
131	0.8956228956	0.2883069066
132	0.898989899	0.2871058845
133	0.9006734007	0.2865623484
134	0.9006734007	0.2859823117
135	0.9023569024	0.28512469
136	0.904040404	0.2840596833
137	0.9057239057	0.2836460038
138	0.904040404	0.2834532139
139	0.904040404	0.2825356974
140	0.904040404	0.2819766635
141	0.9074074074	0.2802532476
142	0.9090909091	0.2801729477
143	0.9107744108	0.2793398922
144	0.9107744108	0.2788253736
145	0.9107744108	0.2788152157
146	0.9124579125	0.2781702504
147	0.9124579125	0.2770909376
148	0.9124579125	0.2762749051
149	0.9124579125	0.2756976831
150	0.9141414141	0.273307278
151	0.9141414141	0.2731824053
152	0.9141414141	0.2729766409
153	0.9158249158	0.2719920797
154	0.9175084175	0.2715027855
155	0.9175084175	0.2713336471
156	0.9175084175	0.2710603944
157	0.9175084175	0.2710387622
158	0.9175084175	0.2701994465
159	0.9175084175	0.2693673886
160	0.9175084175	0.2685947221
161	0.9175084175	0.2682331442
162	0.9191919192	0.2676810825
163	0.9175084175	0.2669853298
164	0.9191919192	0.2667627777
165	0.9191919192	0.2659007319
166	0.9158249158	0.2643591558
167	0.9158249158	0.2636476703
168	0.9158249158	0.2630481328
169	0.9175084175	0.2622627826
170	0.9191919192	0.2615322474
171	0.9191919192	0.2610567618
172	0.9191919192	0.2605320488
173	0.9191919192	0.257630151
174	0.9191919192	0.2569125994
175	0.9225589226	0.25459508
176	0.9225589226	0.2537263796
177	0.9225589226	0.2531619123
178	0.9242424242	0.2523434607
179	0.9242424242	0.2512461063
180	0.9242424242	0.2510031274
181	0.9242424242	0.2489348368
182	0.9225589226	0.2479059838
183	0.9225589226	0.2477023492
184	0.9225589226	0.2471214876
185	0.9242424242	0.2467037485
186	0.9242424242	0.2456566026
187	0.9242424242	0.2452951885
188	0.9242424242	0.2449323963
189	0.9242424242	0.2443878526
