iter	Passed	Remaining
0	37	3755
1	82	4044
2	119	3874
3	162	3894
4	200	3803
5	235	3690
6	276	3675
7	311	3583
8	347	3511
9	383	3454
10	428	3463
11	464	3407
12	501	3358
13	537	3302
14	574	3252
15	610	3206
16	646	3157
17	682	3106
18	716	3056
19	765	3062
20	886	3336
21	1017	3607
22	1172	3925
23	1328	4205
24	1539	4619
25	1809	5150
26	2056	5559
27	2212	5689
28	2343	5738
29	2561	5975
30	2647	5892
31	2717	5775
32	2774	5632
33	2824	5481
34	2862	5315
35	2905	5165
36	2947	5019
37	2989	4877
38	3028	4736
39	3071	4607
40	3126	4498
41	3192	4408
42	3258	4319
43	3311	4214
44	3356	4102
45	3394	3984
46	3434	3872
47	3471	3760
48	3511	3654
49	3557	3557
50	3607	3465
51	3674	3391
52	3743	3319
53	3799	3236
54	3838	3140
55	3875	3045
56	3913	2952
57	3952	2862
58	3991	2773
59	4029	2686
60	4068	2600
61	4104	2515
62	4144	2434
63	4208	2367
64	4271	2299
65	4336	2234
66	4373	2153
67	4412	2076
68	4453	2000
69	4496	1927
70	4531	1850
71	4572	1778
72	4609	1704
73	4645	1632
74	4684	1561
75	4742	1497
76	4825	1441
77	4881	1376
78	4916	1306
79	4967	1241
80	5012	1175
81	5048	1108
82	5089	1042
83	5127	976
84	5165	911
85	5201	846
86	5246	784
87	5316	724
88	5373	664
89	5434	603
90	5476	541
91	5515	479
92	5557	418
93	5592	356
94	5630	296
95	5669	236
96	5710	176
97	5753	117
98	5797	58
99	5842	0
