iter	Passed	Remaining
0	36	2850
1	71	2774
2	132	3408
3	206	3918
4	262	3938
5	318	3924
6	370	3868
7	465	4191
8	546	4312
9	609	4264
10	669	4201
11	725	4113
12	783	4037
13	838	3953
14	893	3870
15	946	3787
16	1010	3744
17	1064	3667
18	1122	3602
19	1198	3595
20	1303	3663
21	1446	3813
22	1574	3901
23	1734	4047
24	1932	4251
25	2065	4290
26	2322	4558
27	2451	4552
28	2602	4577
29	2749	4583
30	2869	4535
31	2958	4437
32	3033	4320
33	3104	4199
34	3166	4070
35	3234	3953
36	3292	3826
37	3352	3705
38	3406	3580
39	3465	3465
40	3534	3361
41	3595	3253
42	3679	3165
43	3740	3060
44	3799	2955
45	3859	2852
46	3925	2756
47	3985	2657
48	4045	2559
49	4102	2461
50	4159	2365
51	4218	2271
52	4284	2182
53	4346	2092
54	4408	2003
55	4465	1913
56	4527	1826
57	4585	1739
58	4648	1654
59	4745	1581
60	4808	1497
61	4866	1412
62	4930	1330
63	4995	1248
64	5114	1180
65	5230	1109
66	5365	1041
67	5483	967
68	5581	889
69	5676	810
70	5777	732
71	5893	654
72	5978	573
73	6060	491
74	6143	409
75	6230	327
76	6314	246
77	6408	164
78	6500	82
79	6620	0
