iter	Passed	Remaining
0	36	2866
1	114	4477
2	181	4651
3	244	4643
4	296	4454
5	349	4313
6	445	4642
7	496	4467
8	550	4345
9	603	4226
10	660	4140
11	712	4039
12	762	3929
13	830	3917
14	915	3965
15	999	3997
16	1053	3903
17	1111	3829
18	1237	3974
19	1486	4458
20	1627	4571
21	1830	4826
22	2056	5096
23	2224	5190
24	2320	5105
25	2422	5031
26	2496	4900
27	2578	4789
28	2673	4702
29	2745	4576
30	2803	4431
31	2861	4292
32	2919	4158
33	2974	4024
34	3027	3892
35	3082	3767
36	3140	3650
37	3188	3523
38	3240	3406
39	3309	3309
40	3361	3197
41	3417	3091
42	3472	2988
43	3536	2893
44	3602	2801
45	3654	2701
46	3714	2608
47	3767	2511
48	3824	2419
49	3886	2332
50	3942	2241
51	3995	2151
52	4054	2065
53	4171	2008
54	4279	1945
55	4361	1869
56	4505	1817
57	4606	1747
58	4695	1671
59	4765	1588
60	4843	1508
61	4924	1429
62	5011	1352
63	5085	1271
64	5180	1195
65	5306	1125
66	5412	1050
67	5504	971
68	5593	891
69	5701	814
70	5815	737
71	5933	659
72	6008	576
73	6061	491
74	6127	408
75	6194	326
76	6274	244
77	6330	162
78	6391	80
79	6457	0
