iter	Passed	Remaining
403	12013	2854
404	12042	2824
405	12070	2794
406	12096	2764
407	12126	2734
408	12157	2704
409	12184	2674
410	12210	2644
411	12236	2613
412	12267	2584
413	12298	2554
414	12324	2524
415	12352	2494
416	12379	2464
417	12409	2434
418	12438	2404
419	12467	2374
420	12495	2344
421	12522	2314
422	12553	2285
423	12583	2255
424	12615	2226
425	12641	2195
426	12668	2165
427	12700	2136
428	12728	2106
429	12753	2076
430	12781	2046
431	12808	2016
432	12836	1986
433	12864	1956
434	12894	1926
435	12927	1897
436	12961	1868
437	12987	1838
438	13017	1808
439	13044	1778
440	13071	1748
441	13098	1718
442	13124	1688
443	13151	1658
444	13179	1628
445	13207	1599
446	13235	1569
447	13263	1539
448	13289	1509
449	13315	1479
450	13344	1449
451	13375	1420
452	13403	1390
453	13430	1360
454	13459	1331
455	13486	1301
456	13513	1271
457	13543	1241
458	13569	1212
459	13598	1182
460	13627	1152
461	13657	1123
462	13683	1093
463	13710	1063
464	13739	1034
465	13766	1004
466	13798	975
467	13825	945
468	13853	915
469	13882	886
470	13908	856
471	13937	826
472	13962	797
473	13993	767
474	14021	737
475	14048	708
476	14074	678
477	14104	649
478	14131	619
479	14159	589
480	14189	560
481	14221	531
482	14250	501
483	14279	472
484	14305	442
485	14334	412
486	14361	383
487	14389	353
488	14417	324
489	14445	294
490	14473	265
491	14499	235
492	14528	206
493	14556	176
494	14587	147
495	14618	117
496	14655	88
497	14677	58
498	14705	29
499	14734	0
