iter	Accuracy	Logloss
179	0.9276094276	0.2339176609
180	0.9259259259	0.2331072364
181	0.9259259259	0.2324204666
182	0.9259259259	0.2315941501
183	0.9276094276	0.2309281429
184	0.9276094276	0.2294118678
185	0.9292929293	0.2290144879
186	0.9292929293	0.2287806895
187	0.9276094276	0.2277459521
188	0.9326599327	0.227021204
189	0.9326599327	0.2265844991
190	0.9326599327	0.2264786266
191	0.9326599327	0.2259285456
192	0.9326599327	0.2256530106
193	0.9326599327	0.2253040826
194	0.9326599327	0.2249097676
195	0.9326599327	0.2246194851
196	0.9326599327	0.2242747722
197	0.9326599327	0.2233445704
198	0.9343434343	0.2224259913
199	0.9343434343	0.2223121566
200	0.9343434343	0.2213144178
201	0.9377104377	0.2202193361
202	0.9377104377	0.2199771748
203	0.9343434343	0.2193454336
204	0.9343434343	0.2190995305
205	0.9343434343	0.2189563805
206	0.936026936	0.2183472381
207	0.936026936	0.2175311196
208	0.936026936	0.2172966625
209	0.936026936	0.2167090873
210	0.9377104377	0.2158905322
211	0.9377104377	0.2154606171
212	0.9393939394	0.2143240439
213	0.9377104377	0.2132237923
214	0.9393939394	0.2117015044
215	0.9377104377	0.2107079354
216	0.9393939394	0.209655579
217	0.9377104377	0.2094121558
218	0.9393939394	0.2087666008
219	0.9427609428	0.2067000113
220	0.9444444444	0.2061928568
221	0.9461279461	0.2057141723
222	0.9461279461	0.2053862404
223	0.9461279461	0.2050840658
224	0.9461279461	0.2043494659
225	0.9461279461	0.2041729839
226	0.9461279461	0.2035805349
227	0.9461279461	0.2023868351
228	0.9461279461	0.2020034292
229	0.9461279461	0.201872082
230	0.9461279461	0.2011631079
231	0.9461279461	0.2003833462
232	0.9461279461	0.2003135235
233	0.9461279461	0.2000623838
234	0.9461279461	0.1994193026
235	0.9461279461	0.1987752751
236	0.9461279461	0.1983683923
237	0.9478114478	0.1978525688
238	0.9478114478	0.1974416448
239	0.9494949495	0.1956828132
240	0.9478114478	0.1951283451
241	0.9494949495	0.1936846744
242	0.9494949495	0.1934431868
243	0.9494949495	0.1930834851
244	0.9511784512	0.1926880681
245	0.9511784512	0.1917876209
246	0.9511784512	0.1913011719
247	0.9511784512	0.190668932
248	0.9511784512	0.1903537843
249	0.9511784512	0.188762641
250	0.9528619529	0.1884162914
251	0.9528619529	0.1879138212
252	0.9528619529	0.1876693814
253	0.9528619529	0.1876171793
254	0.9528619529	0.1873165004
255	0.9528619529	0.1868802287
256	0.9528619529	0.1859668878
257	0.9528619529	0.1855258718
258	0.9528619529	0.185349524
259	0.9528619529	0.1851283801
260	0.9528619529	0.184593092
261	0.9528619529	0.1840366652
262	0.9528619529	0.1833355574
263	0.9545454545	0.1828674519
264	0.9545454545	0.1828160237
265	0.9545454545	0.1827223917
266	0.9545454545	0.1819669288
267	0.9545454545	0.1816468325
268	0.9545454545	0.1806677928
269	0.9545454545	0.1801668189
270	0.9545454545	0.1789919409
271	0.9545454545	0.1782594164
272	0.9545454545	0.1778638916
273	0.9545454545	0.1776396015
274	0.9545454545	0.1766328855
275	0.9545454545	0.1762651357
276	0.9545454545	0.1754519688
277	0.9545454545	0.1747978178
278	0.9545454545	0.1742734279
279	0.9579124579	0.1733737026
280	0.9579124579	0.1728997188
281	0.9579124579	0.1727955984
282	0.9579124579	0.1722107405
283	0.9545454545	0.1713168049
284	0.9545454545	0.1712490366
285	0.9545454545	0.1710703648
286	0.9545454545	0.1703951514
287	0.9545454545	0.1696645596
288	0.9545454545	0.1690921559
289	0.9545454545	0.1684546895
290	0.9562289562	0.1681054666
291	0.9562289562	0.1677077405
292	0.9545454545	0.1672000326
293	0.9562289562	0.16669459
294	0.9562289562	0.166621787
295	0.9579124579	0.1662169238
296	0.9579124579	0.1655113502
297	0.9579124579	0.1652740518
298	0.9612794613	0.1648054987
299	0.9612794613	0.1642670468
300	0.9612794613	0.1639903708
301	0.9612794613	0.1634051712
302	0.9612794613	0.163237647
303	0.9612794613	0.1627098112
304	0.9612794613	0.1623328671
305	0.9612794613	0.1616349357
306	0.9612794613	0.161316624
307	0.962962963	0.1606567742
308	0.962962963	0.160378079
