iter	Logloss
0	0.3050046343
1	0.237092635
2	0.1990234154
3	0.1894888863
4	0.1824146437
5	0.1793822047
6	0.1760470757
7	0.1743949588
8	0.1717229247
9	0.1708622038
10	0.1701016803
11	0.1695871644
12	0.168814595
13	0.1682423037
14	0.1680109866
15	0.1676206781
16	0.1673654056
17	0.1672270742
18	0.1670245722
19	0.1665098464
20	0.1661179944
21	0.1657547632
22	0.1648201932
23	0.1641949901
24	0.1635009467
25	0.1627464555
26	0.1624269226
27	0.1617454296
28	0.1612700734
29	0.1609092283
30	0.16068062
31	0.1604355608
32	0.1604347192
33	0.1601562351
34	0.1596381349
35	0.1593978957
36	0.1585865437
37	0.1584000394
38	0.1579963562
39	0.1575218966
40	0.1571604264
41	0.1571143027
42	0.1571129427
43	0.1570537673
44	0.1568172437
45	0.1564366111
46	0.1562493372
47	0.1555225048
48	0.1549878433
49	0.154115701
50	0.1538435294
51	0.1536151176
52	0.1533687088
53	0.1528944505
54	0.1527031453
55	0.152538889
56	0.152329318
57	0.1521003206
58	0.1517888204
59	0.1511924058
60	0.150984042
61	0.1506520117
62	0.1505742131
63	0.1503195112
64	0.1493172296
65	0.1492004267
66	0.1484666429
67	0.1482555391
68	0.1479805894
69	0.1477362709
70	0.1473557634
71	0.147240103
72	0.1470826022
73	0.1470145983
74	0.1464897873
75	0.1463580542
76	0.1461944715
77	0.1461863488
78	0.1459638518
79	0.1453528935
