iter	Passed	Remaining
0	38	3071
1	74	2900
2	145	3734
3	211	4020
4	276	4146
5	339	4186
6	399	4161
7	458	4124
8	524	4137
9	581	4073
10	639	4010
11	694	3935
12	756	3900
13	819	3863
14	878	3805
15	941	3766
16	997	3695
17	1054	3632
18	1113	3576
19	1189	3569
20	1356	3812
21	1434	3782
22	1504	3728
23	1664	3883
24	1810	3984
25	1925	3999
26	2102	4126
27	2213	4110
28	2312	4067
29	2457	4095
30	2567	4057
31	2656	3984
32	2728	3885
33	2827	3824
34	2925	3761
35	3040	3716
36	3123	3630
37	3204	3542
38	3269	3436
39	3327	3327
40	3419	3253
41	3501	3168
42	3594	3092
43	3677	3008
44	3760	2925
45	3875	2864
46	3994	2804
47	4091	2727
48	4207	2661
49	4369	2621
50	4510	2564
51	4640	2498
52	4756	2423
53	4871	2345
54	4923	2237
55	5007	2146
56	5068	2045
57	5161	1957
58	5299	1886
59	5356	1785
60	5421	1688
61	5490	1594
62	5585	1507
63	5653	1413
64	5722	1320
65	5785	1227
66	5844	1134
67	5903	1041
68	5965	950
69	6022	860
70	6079	770
71	6151	683
72	6209	595
73	6275	508
74	6335	422
75	6392	336
76	6452	251
77	6514	167
78	6587	83
79	6663	0
