iter	Logloss
0	0.6688062472
1	0.647962157
2	0.6300477912
3	0.6146073872
4	0.6012694898
5	0.5933346029
6	0.5821765176
7	0.5725056958
8	0.5641163763
9	0.5583263097
10	0.5512488047
11	0.5451028857
12	0.5397648918
13	0.5351266233
14	0.5306059164
15	0.5263748579
16	0.5225107393
17	0.5191781042
18	0.516088688
19	0.5132437204
20	0.5096766268
21	0.5074142562
22	0.5043532862
23	0.5022724616
24	0.50078951
25	0.4988299199
26	0.4962637528
27	0.494574155
28	0.4931192853
29	0.4918667349
30	0.4896481597
31	0.4877263571
32	0.486878413
33	0.485207918
34	0.4841041529
35	0.4832855277
36	0.4818338829
37	0.4809410715
38	0.4801477825
39	0.4788812504
40	0.4780014633
41	0.4773199709
42	0.4761411564
43	0.4751146173
44	0.4745349525
45	0.473922557
46	0.4728463553
47	0.4723181827
48	0.4714447781
49	0.4706987683
50	0.4702733648
51	0.4699080258
52	0.469903919
53	0.4689460443
54	0.4681181835
55	0.4674635637
56	0.4670429664
57	0.4661118358
58	0.4655016869
59	0.4654850086
60	0.4647573939
61	0.4642133835
62	0.4636507983
63	0.463186758
64	0.4628849694
65	0.4625966307
66	0.4618238785
67	0.4612988365
68	0.4611347313
69	0.4606533585
70	0.4602157103
71	0.4597729122
72	0.4597642968
73	0.4593856456
74	0.458719269
75	0.458206191
76	0.458072298
77	0.4576996954
78	0.4574989893
79	0.4572888427
80	0.4570799644
81	0.4568918444
82	0.4566019286
83	0.4565939402
84	0.4563013938
85	0.4559965428
86	0.4554173677
87	0.4552399632
88	0.4552399558
89	0.4549730836
90	0.4544710133
91	0.4538597845
92	0.4534129261
93	0.4531798251
94	0.4528003769
95	0.4524096914
96	0.4518690328
97	0.4516689164
98	0.4515591347
99	0.4515589813
