iter	Accuracy	Logloss
126	0.9012345679	0.3072381201
127	0.8945005612	0.3065954539
128	0.8956228956	0.3061505909
129	0.8956228956	0.3061505897
130	0.8945005612	0.3059744548
131	0.8945005612	0.3059037191
132	0.8956228956	0.3056707794
133	0.8945005612	0.3054970973
134	0.8933782267	0.3048961837
135	0.8922558923	0.3044345404
136	0.8933782267	0.303955503
137	0.8933782267	0.3037936051
138	0.8922558923	0.3031490008
139	0.8922558923	0.3024565745
140	0.8945005612	0.3017558874
141	0.8933782267	0.3015512355
142	0.8933782267	0.3011520613
143	0.8933782267	0.3004470561
144	0.8922558923	0.2994784956
145	0.8922558923	0.299268058
146	0.8933782267	0.2980894557
147	0.8922558923	0.2978294069
148	0.8922558923	0.2970052938
149	0.8967452301	0.2966337734
150	0.8967452301	0.296606449
151	0.8956228956	0.2962301568
152	0.8933782267	0.2958368991
153	0.8945005612	0.2952083093
154	0.8945005612	0.2950042834
155	0.8945005612	0.2949285568
156	0.8933782267	0.2945739436
157	0.8922558923	0.2927546513
158	0.8933782267	0.2924327107
159	0.8933782267	0.2921380064
160	0.8945005612	0.2914331812
161	0.8933782267	0.2908905302
162	0.8945005612	0.2906773733
163	0.8956228956	0.2902698787
164	0.8956228956	0.2899626564
165	0.8956228956	0.2892815373
166	0.8956228956	0.2891307251
167	0.8945005612	0.2887947116
168	0.8945005612	0.2885517778
169	0.8956228956	0.2880917084
170	0.8956228956	0.2874358533
171	0.8956228956	0.2871679059
172	0.8956228956	0.2869802032
173	0.8956228956	0.2859355814
174	0.8956228956	0.2855873241
175	0.8956228956	0.2848684365
176	0.8956228956	0.2843372207
177	0.8956228956	0.2838149982
178	0.8956228956	0.2836145292
179	0.8967452301	0.2831103319
180	0.8978675645	0.2827705116
181	0.8978675645	0.2822215484
182	0.8978675645	0.2815711303
183	0.8978675645	0.2808416087
184	0.8978675645	0.2802318445
185	0.8978675645	0.2794889709
186	0.8978675645	0.2794258705
187	0.898989899	0.2784558997
188	0.9023569024	0.2776258705
189	0.9034792368	0.2766822638
190	0.9046015713	0.2757464787
191	0.9057239057	0.2750467917
192	0.9057239057	0.2749849736
193	0.9057239057	0.2745420897
194	0.9090909091	0.2737295011
195	0.9090909091	0.2731361797
196	0.9102132435	0.2728665249
197	0.9079685746	0.2718785252
198	0.9090909091	0.2714076424
199	0.9079685746	0.2713055918
200	0.9090909091	0.2700591892
201	0.9102132435	0.2693435208
202	0.9102132435	0.2691001124
203	0.9090909091	0.2686487834
204	0.9090909091	0.2679518462
205	0.9090909091	0.2676581196
206	0.9090909091	0.2671662846
207	0.9090909091	0.2667882551
208	0.9090909091	0.2662817738
209	0.9090909091	0.2659227222
210	0.9090909091	0.2657305596
211	0.9079685746	0.26462512
212	0.9079685746	0.2645063234
213	0.9090909091	0.2637164949
214	0.9068462402	0.2634368219
215	0.9068462402	0.2631641771
216	0.9079685746	0.2630527793
217	0.9079685746	0.2626246315
218	0.9090909091	0.2620891062
219	0.9079685746	0.2618267288
220	0.9090909091	0.2615534398
221	0.9090909091	0.2613829572
222	0.9090909091	0.2608289085
223	0.9090909091	0.2602697111
224	0.9090909091	0.2598015516
225	0.911335578	0.258536421
226	0.911335578	0.2573264078
227	0.911335578	0.257044726
228	0.911335578	0.2569471084
229	0.9124579125	0.256397146
230	0.9124579125	0.255680499
231	0.9124579125	0.2554549818
232	0.9124579125	0.255289985
233	0.9124579125	0.254946426
234	0.9124579125	0.2546472915
235	0.9124579125	0.2542722571
236	0.9135802469	0.2537845936
237	0.9135802469	0.2533601314
238	0.9135802469	0.2532165343
239	0.9158249158	0.2528414901
240	0.9169472503	0.2523589472
241	0.9180695847	0.2518522983
242	0.9169472503	0.2512745963
243	0.9169472503	0.2510190623
244	0.9180695847	0.2508554055
245	0.9169472503	0.2504271842
246	0.9169472503	0.2501026564
247	0.9180695847	0.2493746256
248	0.9169472503	0.2490629286
249	0.9169472503	0.2486397227
250	0.9180695847	0.247692632
251	0.9180695847	0.2466713394
252	0.9191919192	0.246482837
253	0.9203142536	0.246030758
254	0.9203142536	0.2451574213
255	0.9214365881	0.2446338215
256	0.923681257	0.2437315634
257	0.923681257	0.2434222236
258	0.923681257	0.2431374115
259	0.9248035915	0.2426620957
260	0.9248035915	0.242461037
261	0.9248035915	0.2419771533
262	0.923681257	0.2414830781
263	0.9248035915	0.2409043243
264	0.9248035915	0.240719669
265	0.9248035915	0.2404007198
266	0.9248035915	0.2397450316
267	0.9248035915	0.2392068736
268	0.9248035915	0.2389115959
269	0.9248035915	0.2386636755
270	0.9248035915	0.2382998823
271	0.9248035915	0.2376874926
272	0.9259259259	0.2371039859
273	0.9259259259	0.236833336
274	0.9259259259	0.2363510827
275	0.9281705948	0.236071517
276	0.9281705948	0.2359468127
277	0.9281705948	0.2353856886
278	0.9281705948	0.2350448866
279	0.9281705948	0.2347200434
280	0.9281705948	0.2345578233
281	0.9281705948	0.233820673
282	0.9281705948	0.2337699571
283	0.9281705948	0.2331752029
284	0.9292929293	0.2325287531
285	0.9292929293	0.2320906791
286	0.9292929293	0.2320170749
287	0.9292929293	0.2318721705
288	0.9292929293	0.2311927666
289	0.9292929293	0.2309110658
290	0.9315375982	0.2302385655
291	0.9326599327	0.2294551578
292	0.9326599327	0.229073814
293	0.9326599327	0.2288782417
294	0.9326599327	0.2287338733
295	0.9315375982	0.2279950781
296	0.9337822671	0.2277086709
297	0.9337822671	0.2272768212
298	0.9337822671	0.2269451961
299	0.9349046016	0.2261622483
300	0.9337822671	0.2256956947
301	0.9349046016	0.2250312934
302	0.9349046016	0.2245488565
303	0.9349046016	0.2241985369
304	0.9349046016	0.2239070224
305	0.9349046016	0.2229430678
306	0.9349046016	0.2220350911
307	0.936026936	0.2209694948
308	0.9337822671	0.219984908
309	0.9337822671	0.2192767816
310	0.9337822671	0.2189960713
311	0.9337822671	0.2185004491
312	0.9337822671	0.2183472438
313	0.9337822671	0.2178072506
314	0.9337822671	0.2175561758
315	0.9349046016	0.2173619296
316	0.9349046016	0.2168241232
317	0.9349046016	0.2160536987
318	0.9337822671	0.2157033476
319	0.9349046016	0.2151239171
320	0.9337822671	0.214896869
321	0.9349046016	0.2142552514
322	0.9349046016	0.2141975844
323	0.9349046016	0.2140958286
324	0.9349046016	0.2140050345
325	0.9349046016	0.2133386938
326	0.9349046016	0.2130419498
327	0.9349046016	0.2126930688
328	0.9349046016	0.2124982739
329	0.9349046016	0.2123527383
330	0.9349046016	0.2117663396
331	0.9349046016	0.2114125304
332	0.9349046016	0.2108834285
333	0.9349046016	0.2105916663
334	0.9349046016	0.2099020257
335	0.9349046016	0.2094497109
336	0.9349046016	0.2088547909
337	0.9349046016	0.2085531412
338	0.9349046016	0.2080850426
339	0.9349046016	0.2079092396
340	0.936026936	0.2074015344
341	0.936026936	0.2069703608
342	0.936026936	0.2067523207
343	0.936026936	0.2064273998
344	0.936026936	0.2062109087
345	0.9371492705	0.2056478617
346	0.9371492705	0.2045171984
347	0.9371492705	0.2042906751
348	0.9371492705	0.2038170973
349	0.9371492705	0.2026364344
350	0.9371492705	0.2022801268
351	0.9382716049	0.2017349613
352	0.9382716049	0.20137042
353	0.9382716049	0.2012901741
354	0.9382716049	0.2010680252
355	0.9393939394	0.2007473353
356	0.9405162738	0.2005536906
357	0.9405162738	0.2001448307
358	0.9405162738	0.1999540072
359	0.9405162738	0.1994362146
360	0.9405162738	0.1988303038
361	0.9405162738	0.1986140401
