iter	Passed	Remaining
0	29	2309
1	94	3676
2	188	4834
3	252	4802
4	309	4636
5	366	4518
6	483	5037
7	538	4847
8	616	4861
9	677	4745
10	731	4589
11	787	4461
12	854	4401
13	973	4591
14	1069	4634
15	1189	4758
16	1257	4659
17	1328	4575
18	1502	4824
19	1662	4986
20	1901	5343
21	2084	5494
22	2371	5878
23	2450	5718
24	2590	5698
25	2757	5726
26	2866	5627
27	2980	5534
28	3059	5380
29	3129	5215
30	3249	5136
31	3347	5021
32	3457	4925
33	3532	4779
34	3631	4669
35	3728	4556
36	3831	4453
37	3900	4311
38	3981	4185
39	4065	4065
40	4130	3928
41	4198	3798
42	4290	3691
43	4346	3556
44	4406	3427
45	4471	3304
46	4537	3186
47	4596	3064
48	4659	2948
49	4720	2832
50	4775	2715
51	4848	2610
52	4908	2500
53	4967	2391
54	5025	2284
55	5080	2177
56	5141	2074
57	5197	1971
58	5286	1881
59	5356	1785
60	5413	1686
61	5475	1589
62	5536	1493
63	5595	1398
64	5662	1306
65	5717	1212
66	5768	1119
67	5824	1027
68	5893	939
69	5947	849
70	6034	764
71	6122	680
72	6208	595
73	6313	511
74	6475	431
75	6572	345
76	6635	258
77	6695	171
78	6759	85
79	6825	0
