iter	Accuracy	Logloss
0	0.803030303	0.666235659
1	0.8114478114	0.6426141395
2	0.803030303	0.6220667444
3	0.7996632997	0.6069565186
4	0.7996632997	0.5931936511
5	0.7996632997	0.578636551
6	0.8080808081	0.5589918585
7	0.8080808081	0.546908021
8	0.8080808081	0.5316027813
9	0.8097643098	0.5210009345
10	0.8114478114	0.5078702662
11	0.8164983165	0.4970182128
12	0.8198653199	0.487978898
13	0.8249158249	0.4781529659
14	0.8249158249	0.4704316384
15	0.8181818182	0.4677490597
16	0.8198653199	0.4608489961
17	0.82996633	0.4510344288
18	0.8316498316	0.4436065088
19	0.82996633	0.4386866848
20	0.8333333333	0.4335699504
21	0.8383838384	0.4292691009
22	0.8383838384	0.4254359329
23	0.8400673401	0.4208338328
24	0.835016835	0.4197120857
25	0.8383838384	0.4142856834
26	0.8333333333	0.4097056669
27	0.8367003367	0.4060124014
28	0.8333333333	0.403693185
29	0.8383838384	0.4026201235
30	0.8383838384	0.4000289723
31	0.8383838384	0.3971655324
32	0.8400673401	0.3946992346
33	0.8434343434	0.3920444307
34	0.8400673401	0.3894977098
35	0.8451178451	0.3863315863
36	0.8468013468	0.3841888527
37	0.8468013468	0.3808772457
38	0.8484848485	0.3798647146
39	0.8501683502	0.37833966
40	0.8501683502	0.3772591531
41	0.8451178451	0.3752106438
42	0.8451178451	0.3751584657
43	0.8484848485	0.3715717464
44	0.8535353535	0.3700810153
45	0.8585858586	0.3687262896
46	0.8569023569	0.3668954663
47	0.8602693603	0.3652317236
48	0.8653198653	0.3634809
49	0.8636363636	0.3629930473
50	0.867003367	0.3622300748
51	0.8686868687	0.3610439903
52	0.8686868687	0.3610265875
53	0.8686868687	0.3592813994
54	0.867003367	0.3574269767
55	0.8703703704	0.3567401584
56	0.8703703704	0.3567292827
57	0.8703703704	0.3549486126
58	0.8737373737	0.3534810039
59	0.8720538721	0.3526242849
60	0.8703703704	0.3509220707
61	0.8720538721	0.3485495756
62	0.8754208754	0.3479651393
63	0.8720538721	0.3460908559
64	0.8771043771	0.3449229413
65	0.8737373737	0.3444005302
66	0.8771043771	0.3435107988
67	0.8754208754	0.3424262436
68	0.8754208754	0.3417832463
69	0.8771043771	0.3410951389
70	0.8771043771	0.3404647419
71	0.8771043771	0.340427025
72	0.8804713805	0.339287033
73	0.8804713805	0.3386294813
74	0.8821548822	0.337048003
75	0.8821548822	0.3367386797
76	0.8821548822	0.3366679296
77	0.8821548822	0.3362516
78	0.8821548822	0.3360871649
79	0.8821548822	0.335934231
80	0.8821548822	0.3353061385
81	0.8821548822	0.3352890265
82	0.8821548822	0.3342511135
83	0.8838383838	0.3336629391
84	0.8838383838	0.3334236094
85	0.8838383838	0.3324028875
86	0.8838383838	0.3307363408
87	0.8838383838	0.3303803471
88	0.8838383838	0.3297560916
89	0.8855218855	0.3277458074
90	0.8855218855	0.3256886894
91	0.8855218855	0.3247676552
92	0.8855218855	0.3242104276
93	0.8855218855	0.3231048245
94	0.8855218855	0.3210140979
95	0.8855218855	0.3198186862
96	0.8855218855	0.3181525056
97	0.8855218855	0.3170958178
98	0.8855218855	0.3169649912
99	0.8855218855	0.3157167052
100	0.8855218855	0.3150057423
101	0.8872053872	0.3140833988
102	0.8872053872	0.3133940673
103	0.8872053872	0.312586422
104	0.8905723906	0.3117789327
105	0.8922558923	0.3101251499
106	0.8905723906	0.3096368216
107	0.8905723906	0.3095200185
108	0.8905723906	0.3090505074
109	0.8922558923	0.3080959174
110	0.8922558923	0.307382051
111	0.8922558923	0.306560376
112	0.8905723906	0.3062442288
113	0.8888888889	0.3057334446
114	0.8905723906	0.3044682305
115	0.8905723906	0.303853026
116	0.8939393939	0.3028395592
117	0.8939393939	0.3026900826
118	0.8922558923	0.3019298036
119	0.8905723906	0.3014735746
120	0.8922558923	0.3009610548
121	0.8922558923	0.3007856285
122	0.8905723906	0.3001400024
123	0.8905723906	0.2996692287
124	0.8922558923	0.2992784261
125	0.8939393939	0.2988966578
126	0.8922558923	0.2979790664
127	0.8922558923	0.2976970071
128	0.8939393939	0.2969051781
129	0.8973063973	0.2955293388
130	0.8973063973	0.2948775652
131	0.8956228956	0.2938910274
132	0.8956228956	0.2936190939
133	0.8973063973	0.2932633108
134	0.898989899	0.2928892966
135	0.9006734007	0.2923576397
136	0.9006734007	0.2914712603
137	0.9006734007	0.2908632628
138	0.9006734007	0.2906827184
139	0.9006734007	0.289658734
140	0.9023569024	0.2890808646
141	0.9006734007	0.2886324777
142	0.9006734007	0.2885528683
143	0.9023569024	0.2879849993
144	0.904040404	0.2876879568
145	0.904040404	0.2874423676
146	0.9023569024	0.286998869
147	0.9023569024	0.2866547723
148	0.9023569024	0.2862163561
149	0.904040404	0.2858167444
150	0.904040404	0.2847846181
151	0.9057239057	0.2843019898
152	0.9057239057	0.284115869
153	0.9057239057	0.2837852015
154	0.9074074074	0.2832853851
155	0.9057239057	0.2829143863
156	0.9057239057	0.2828440172
157	0.9057239057	0.2823635081
158	0.9074074074	0.2816359493
159	0.9074074074	0.2815290307
160	0.9074074074	0.2812904269
161	0.9090909091	0.2801744774
162	0.9090909091	0.2796373705
163	0.9090909091	0.2793781487
164	0.9107744108	0.2787784914
165	0.9107744108	0.2777068068
166	0.9107744108	0.276567955
167	0.9107744108	0.2761852725
168	0.9107744108	0.2752724071
169	0.9107744108	0.2750279949
170	0.9107744108	0.275025026
171	0.9107744108	0.2748389041
172	0.9107744108	0.2743123553
173	0.9090909091	0.2736513656
174	0.9090909091	0.2735253558
175	0.9090909091	0.2733050948
176	0.9090909091	0.2726356157
177	0.9124579125	0.2716891237
178	0.9141414141	0.2706284819
179	0.9141414141	0.2704561561
180	0.9141414141	0.2685935536
181	0.9158249158	0.267521488
182	0.9158249158	0.2668843614
183	0.9158249158	0.2665069704
184	0.9158249158	0.2658328867
185	0.9158249158	0.264906653
186	0.9158249158	0.2642352044
187	0.9158249158	0.264179522
188	0.9158249158	0.2621770432
189	0.9191919192	0.261483519
190	0.9208754209	0.2597989562
191	0.9208754209	0.2596038532
192	0.9208754209	0.2592878759
193	0.9208754209	0.257928083
194	0.9208754209	0.256984973
195	0.9225589226	0.2551413126
196	0.9242424242	0.2544056274
197	0.9242424242	0.2532205696
198	0.9225589226	0.2519936407
199	0.9225589226	0.2512050752
200	0.9242424242	0.2507781001
201	0.9242424242	0.249440993
202	0.9259259259	0.2491323827
203	0.9276094276	0.2481404248
204	0.9276094276	0.2471747619
205	0.9292929293	0.2452784159
206	0.9292929293	0.2444318735
207	0.9292929293	0.2428907244
208	0.930976431	0.241916007
209	0.930976431	0.2416569198
210	0.930976431	0.2412353624
211	0.9326599327	0.2405159181
212	0.930976431	0.2393435851
213	0.9326599327	0.2385614768
214	0.9326599327	0.2380815116
215	0.9326599327	0.2374168518
216	0.9326599327	0.2367639331
217	0.9326599327	0.2352592091
218	0.9326599327	0.2346215704
219	0.9326599327	0.2343160656
220	0.9326599327	0.2331731515
221	0.936026936	0.2325905626
222	0.936026936	0.2309521609
223	0.936026936	0.2304662525
224	0.936026936	0.2300946237
225	0.936026936	0.2287927318
226	0.9343434343	0.227864369
227	0.9377104377	0.2270080079
228	0.9343434343	0.2259724998
229	0.936026936	0.2255658752
230	0.936026936	0.2251960749
231	0.9377104377	0.2247725888
232	0.9410774411	0.2238691143
233	0.9393939394	0.223426265
234	0.9393939394	0.2230562045
235	0.9410774411	0.2222563306
236	0.9410774411	0.2216813483
237	0.9410774411	0.2208907331
238	0.9393939394	0.2207307736
239	0.9393939394	0.2203965309
240	0.9393939394	0.2193541756
241	0.9410774411	0.2188470142
242	0.9410774411	0.2184325916
243	0.9393939394	0.2181483256
244	0.9393939394	0.2179260659
245	0.9393939394	0.217335626
246	0.9393939394	0.2171070818
247	0.9393939394	0.2165829542
248	0.9410774411	0.2157952107
249	0.9410774411	0.2149806625
250	0.9410774411	0.2143290227
251	0.9410774411	0.2143049476
252	0.9444444444	0.2125539964
253	0.9444444444	0.2120841472
254	0.9444444444	0.2104816837
255	0.9444444444	0.2099222816
256	0.9444444444	0.2092680647
257	0.9444444444	0.2087632258
258	0.9444444444	0.2077627192
259	0.9444444444	0.2076181388
260	0.9444444444	0.2073864493
261	0.9444444444	0.2066535951
262	0.9444444444	0.2060826067
263	0.9444444444	0.2055457615
264	0.9444444444	0.205025775
265	0.9444444444	0.2047839569
266	0.9444444444	0.2044426658
267	0.9444444444	0.2039515278
268	0.9444444444	0.2037531688
269	0.9444444444	0.2030420193
270	0.9461279461	0.2022163851
271	0.9461279461	0.2018908447
272	0.9461279461	0.2014508244
273	0.9461279461	0.2010839032
274	0.9461279461	0.1999904111
275	0.9461279461	0.199920527
276	0.9461279461	0.1991897053
277	0.9461279461	0.1983586454
278	0.9461279461	0.1977968066
279	0.9461279461	0.1975888716
280	0.9461279461	0.1970681332
281	0.9494949495	0.1961950802
282	0.9494949495	0.195506235
283	0.9494949495	0.1948559203
284	0.9494949495	0.1946303507
285	0.9494949495	0.1944039486
286	0.9494949495	0.1931851204
287	0.9478114478	0.1923423905
288	0.9494949495	0.1920541003
289	0.9494949495	0.1914236643
290	0.9478114478	0.1911706669
291	0.9478114478	0.1910641944
292	0.9478114478	0.1902833591
293	0.9478114478	0.1900814249
294	0.9478114478	0.1896752568
295	0.9494949495	0.1889759715
296	0.9478114478	0.1883008432
297	0.9478114478	0.1875186475
298	0.9511784512	0.1868947725
299	0.9511784512	0.1859628556
300	0.9494949495	0.185729616
301	0.9494949495	0.1847593842
302	0.9511784512	0.1842850752
303	0.9494949495	0.1838670452
304	0.9494949495	0.1837353308
305	0.9494949495	0.1829736158
306	0.9511784512	0.1822302615
307	0.9511784512	0.1819707611
308	0.9511784512	0.1812996273
309	0.9511784512	0.1809875396
310	0.9511784512	0.1807275256
311	0.9511784512	0.1806147639
312	0.9511784512	0.1801271785
313	0.9511784512	0.1799327769
314	0.9511784512	0.1796296862
315	0.9511784512	0.1792786825
316	0.9511784512	0.1787397749
317	0.9528619529	0.1779089743
318	0.9528619529	0.1774046973
319	0.9528619529	0.1767628355
320	0.9562289562	0.176136244
321	0.9545454545	0.1753420323
322	0.9545454545	0.1752354863
323	0.9545454545	0.1750533739
324	0.9562289562	0.1749823257
325	0.9562289562	0.1745800856
326	0.9579124579	0.1742888185
327	0.9579124579	0.1741724274
328	0.9579124579	0.1737722792
329	0.9579124579	0.1735704225
330	0.9579124579	0.172973011
331	0.9595959596	0.172519974
332	0.9579124579	0.1720426312
333	0.9579124579	0.1717406773
334	0.9562289562	0.1716863303
335	0.9579124579	0.1714633226
336	0.9579124579	0.1708838099
337	0.9579124579	0.1704160348
338	0.9595959596	0.170055408
339	0.9595959596	0.1697076112
340	0.9595959596	0.1696199525
341	0.9595959596	0.1694500762
342	0.9595959596	0.1691427494
343	0.9595959596	0.169086103
344	0.9595959596	0.1688833177
345	0.9595959596	0.1686149684
346	0.9612794613	0.1685180575
347	0.9595959596	0.1680507046
348	0.9595959596	0.1675025744
349	0.9595959596	0.1668926233
350	0.9595959596	0.1668058078
351	0.9612794613	0.1661313598
352	0.9612794613	0.16604743
353	0.9612794613	0.1658199986
354	0.9612794613	0.1655404689
355	0.9612794613	0.1653051508
356	0.9612794613	0.1648502418
357	0.9612794613	0.16459283
358	0.962962963	0.1642039482
359	0.962962963	0.1637521562
360	0.962962963	0.1636125796
361	0.962962963	0.1632385664
362	0.962962963	0.1631740248
363	0.9646464646	0.162840562
364	0.9646464646	0.1624423566
365	0.9646464646	0.1623674429
366	0.9646464646	0.1618383198
367	0.9646464646	0.161268104
368	0.9646464646	0.1610530066
369	0.9646464646	0.1608470088
370	0.9663299663	0.1601399931
371	0.9663299663	0.1599842967
372	0.9663299663	0.1598577265
373	0.9663299663	0.1596832656
374	0.9663299663	0.1590898829
375	0.9663299663	0.1587527159
376	0.9663299663	0.1584458514
377	0.9663299663	0.1581420168
378	0.9663299663	0.1577262979
379	0.9663299663	0.1576241729
380	0.9663299663	0.1572450566
381	0.9663299663	0.1569188357
382	0.9663299663	0.1566533096
383	0.9663299663	0.1564277566
384	0.9663299663	0.1558864058
385	0.9663299663	0.1557522624
386	0.9663299663	0.1556248791
387	0.9663299663	0.1554676437
388	0.9663299663	0.1553523818
389	0.9663299663	0.155264662
390	0.9663299663	0.1547420713
391	0.9663299663	0.1546961926
392	0.9663299663	0.1544429082
393	0.9663299663	0.1541542825
394	0.9663299663	0.1538059111
395	0.9663299663	0.1537112233
396	0.9663299663	0.1533424541
397	0.9663299663	0.1530704113
398	0.9663299663	0.1529249853
399	0.9663299663	0.152785315
400	0.9663299663	0.1525960767
401	0.968013468	0.1522867743
402	0.968013468	0.1519203919
403	0.968013468	0.1517294733
