iter	Passed	Remaining
0	26	13341
1	58	14629
2	88	14686
3	106	13183
4	123	12262
5	154	12717
6	185	13091
7	216	13332
8	249	13598
9	276	13562
10	302	13456
11	331	13488
12	356	13373
13	383	13311
14	409	13224
15	423	12798
16	448	12733
17	474	12699
18	502	12728
19	532	12774
20	557	12719
21	581	12641
22	620	12876
23	667	13236
24	684	12998
25	732	13350
26	779	13663
27	836	14095
28	869	14115
29	908	14234
30	936	14167
31	965	14127
32	994	14078
33	1025	14055
34	1058	14066
35	1090	14057
36	1117	13983
37	1145	13923
38	1175	13894
39	1215	13976
40	1249	13992
41	1283	13993
42	1291	13724
43	1321	13694
44	1351	13665
45	1381	13638
46	1413	13622
47	1441	13577
48	1471	13540
49	1484	13363
50	1510	13298
51	1537	13248
52	1544	13024
53	1574	13004
54	1607	13009
55	1642	13021
56	1649	12822
57	1682	12821
58	1711	12789
59	1739	12755
60	1768	12725
61	1796	12693
62	1822	12642
63	1847	12585
64	1873	12538
65	1912	12573
66	1951	12611
67	1976	12559
68	2004	12522
69	2034	12500
70	2066	12489
71	2076	12344
72	2104	12308
73	2127	12248
74	2155	12216
75	2171	12112
76	2187	12019
77	2217	11998
78	2249	11986
79	2262	11878
80	2291	11853
81	2301	11734
82	2328	11700
83	2355	11666
84	2382	11630
85	2408	11594
86	2438	11574
87	2466	11547
88	2494	11520
89	2522	11489
90	2548	11455
91	2576	11426
92	2604	11398
93	2634	11377
94	2664	11357
95	2699	11359
96	2886	11991
97	3068	12586
98	3102	12566
99	3165	12661
100	3206	12665
101	3250	12683
102	3285	12662
103	3326	12664
104	3357	12628
105	3391	12607
106	3424	12578
107	3443	12499
108	3473	12460
109	3502	12418
110	3563	12489
111	3626	12564
112	3665	12551
113	3714	12575
114	3777	12645
115	3814	12627
116	3852	12611
117	3881	12564
118	3910	12519
119	3939	12476
120	3970	12437
121	4002	12400
122	4035	12367
123	4062	12318
124	4091	12273
125	4139	12287
126	4189	12304
127	4225	12281
128	4338	12478
129	4487	12771
130	4521	12736
131	4549	12684
132	4575	12625
133	4599	12562
134	4632	12524
135	4668	12494
136	4699	12452
137	4738	12429
138	4771	12392
139	4806	12358
140	4841	12326
141	4872	12284
142	4900	12233
143	4930	12188
144	4955	12133
145	4984	12086
146	5013	12038
147	5084	12092
148	5151	12134
149	5197	12128
150	5234	12098
151	5272	12071
152	5304	12029
153	5337	11991
154	5382	11980
155	5413	11938
156	5446	11898
157	5475	11851
158	5500	11797
