iter	Logloss_SumError	Logloss_SumWeight
0	21530.79166	32769
1	20409.17821	32769
2	19378.11988	32769
3	18430.21007	32769
4	17524.19156	32769
5	16723.6014	32769
6	15966.79456	32769
7	15269.4855	32769
8	14567.35989	32769
9	13967.20067	32769
10	13414.20674	32769
11	12943.47361	32769
12	12453.42902	32769
13	12038.55986	32769
14	11634.07494	32769
15	11238.56877	32769
16	10906.45803	32769
17	10583.32243	32769
18	10262.82728	32769
19	9939.176802	32769
20	9678.09121	32769
21	9480.581318	32769
22	9231.413535	32769
23	9008.524585	32769
24	8790.336084	32769
25	8563.573103	32769
26	8379.459812	32769
27	8215.541591	32769
28	8062.006924	32769
29	7968.544766	32769
30	7800.57924	32769
31	7631.989242	32769
32	7452.773393	32769
33	7291.756096	32769
34	7121.812779	32769
35	7012.899714	32769
36	6889.663194	32769
37	6759.445421	32769
38	6644.926733	32769
39	6511.683882	32769
40	6384.952488	32769
41	6260.934803	32769
42	6169.860044	32769
43	6086.558923	32769
44	6006.731174	32769
45	5909.423932	32769
46	5821.658516	32769
47	5744.061588	32769
48	5667.176964	32769
49	5601.207086	32769
50	5528.319366	32769
51	5443.61606	32769
52	5385.36612	32769
53	5323.704747	32769
54	5267.011519	32769
55	5215.807531	32769
56	5165.906586	32769
57	5113.993621	32769
58	5056.110762	32769
59	4999.651833	32769
60	4954.935918	32769
61	4918.729796	32769
62	4873.091759	32769
63	4824.857015	32769
64	4780.092016	32769
65	4740.455471	32769
66	4702.851981	32769
67	4662.401057	32769
68	4629.511065	32769
69	4603.384831	32769
70	4567.241246	32769
71	4539.8749	32769
72	4510.694561	32769
73	4485.810721	32769
74	4454.860814	32769
75	4431.113524	32769
76	4396.487409	32769
77	4367.490406	32769
78	4336.343148	32769
79	4299.97256	32769
80	4269.398208	32769
81	4240.899489	32769
82	4207.820195	32769
83	4181.761579	32769
84	4161.359702	32769
85	4135.126307	32769
86	4112.705462	32769
87	4092.38842	32769
88	4075.756171	32769
89	4059.825857	32769
90	4033.439898	32769
91	4011.089663	32769
92	3978.69559	32769
93	3949.721128	32769
94	3912.26604	32769
95	3883.609618	32769
96	3857.952199	32769
97	3831.294105	32769
98	3809.556135	32769
99	3790.456827	32769
100	3766.161637	32769
101	3743.989883	32769
102	3719.245084	32769
103	3698.788113	32769
104	3669.961846	32769
105	3638.432297	32769
106	3610.989898	32769
107	3584.835784	32769
108	3565.670673	32769
109	3547.685502	32769
110	3519.374895	32769
111	3495.201455	32769
112	3471.507491	32769
113	3453.780707	32769
114	3425.911618	32769
115	3410.94092	32769
116	3388.360618	32769
117	3379.8498	32769
118	3355.191463	32769
119	3332.866226	32769
120	3324.482325	32769
121	3301.02372	32769
122	3276.72777	32769
123	3258.222645	32769
124	3242.727235	32769
125	3225.788885	32769
126	3217.099181	32769
127	3213.098137	32769
128	3194.517731	32769
129	3183.249498	32769
130	3162.766337	32769
131	3155.021301	32769
132	3144.359264	32769
133	3129.5417	32769
134	3126.237106	32769
135	3116.130318	32769
136	3100.66597	32769
137	3091.639359	32769
138	3085.490829	32769
139	3080.656225	32769
140	3079.093334	32769
141	3073.70909	32769
142	3067.71957	32769
143	3061.918164	32769
144	3056.494289	32769
145	3042.128424	32769
146	3037.207242	32769
147	3032.551184	32769
148	3027.431499	32769
149	3018.82736	32769
150	3017.112633	32769
151	3008.438696	32769
152	3003.148991	32769
153	2991.844723	32769
154	2985.373548	32769
155	2976.697307	32769
156	2974.810466	32769
157	2973.176179	32769
158	2962.856849	32769
159	2961.520594	32769
160	2956.944457	32769
161	2956.217611	32769
162	2954.745684	32769
163	2944.616331	32769
164	2932.575444	32769
165	2931.311045	32769
166	2922.738132	32769
167	2921.279277	32769
168	2914.927157	32769
169	2914.205254	32769
170	2911.090989	32769
171	2907.43745	32769
172	2895.650046	32769
173	2892.560596	32769
174	2887.288779	32769
175	2886.709313	32769
176	2885.177704	32769
177	2880.853296	32769
178	2873.782498	32769
179	2872.701429	32769
180	2865.149617	32769
181	2864.517974	32769
182	2863.738099	32769
183	2861.831483	32769
184	2854.390689	32769
185	2851.589373	32769
186	2851.603393	32769
187	2850.818394	32769
188	2848.921007	32769
189	2843.819294	32769
190	2836.021742	32769
191	2827.410755	32769
192	2826.073604	32769
193	2824.359453	32769
194	2822.182876	32769
195	2818.892238	32769
196	2816.303361	32769
197	2816.356672	32769
198	2815.750304	32769
199	2816.760159	32769
