iter	Logloss
0	0.656985996
1	0.6231215519
2	0.5917369295
3	0.5631905562
4	0.5359046717
5	0.511454421
6	0.4885682336
7	0.4672990771
8	0.4468186861
9	0.4285182132
10	0.4117044683
11	0.3972444488
12	0.3827980327
13	0.3700758335
14	0.3576765625
15	0.3460773295
16	0.3359205858
17	0.3262561537
18	0.3166045258
19	0.3072442854
20	0.299400488
21	0.2932626875
22	0.285853009
23	0.2791061172
24	0.2726616193
25	0.2663727831
26	0.2610140903
27	0.2562784851
28	0.2517386847
29	0.2488155167
30	0.244302772
31	0.2398783254
32	0.235388401
33	0.2314419177
34	0.2274570269
35	0.2246366346
36	0.2215280833
37	0.2184854281
38	0.215690184
39	0.2127925274
40	0.2101532296
41	0.2075522548
42	0.2054831705
43	0.2036546682
44	0.2019341812
45	0.2000803979
46	0.1983422272
47	0.1966037075
48	0.1950959657
49	0.1937545837
50	0.1923495316
51	0.190797818
52	0.1897234271
53	0.1886370632
54	0.1875329093
55	0.1865537753
56	0.185643809
57	0.1847321354
58	0.1837937411
59	0.1828306277
60	0.1820779529
61	0.1814649273
62	0.1806819094
63	0.1799712105
64	0.1793381782
65	0.1787072244
66	0.1781334384
67	0.1775978775
68	0.1771171186
69	0.1766176381
70	0.1761103817
71	0.1757445689
72	0.1752878362
73	0.1748961794
74	0.1744882284
75	0.1741504663
76	0.1736638383
77	0.1731799394
78	0.1726992375
79	0.1722026975
80	0.1717952097
81	0.1713752625
82	0.1709662467
83	0.1706042029
84	0.1702907425
85	0.1699323167
86	0.1696299709
87	0.1694086453
88	0.169153668
89	0.168901368
90	0.1685964585
91	0.1683092214
92	0.1679208517
93	0.1676261618
94	0.1672633697
95	0.1669281415
96	0.1666944463
97	0.1663793304
98	0.1660708143
99	0.1658385347
100	0.165563126
101	0.1653181346
102	0.165041549
103	0.1648222081
104	0.1644992346
105	0.1641928601
106	0.1638703262
107	0.163564881
108	0.1634111213
109	0.1632955426
110	0.1630655818
111	0.1627984113
112	0.1625348754
113	0.1624167454
114	0.1621394642
115	0.1619452499
116	0.1617124346
117	0.1616203346
118	0.1614316261
119	0.1612707842
120	0.1611422306
121	0.1609860375
122	0.1608240581
123	0.1606333816
124	0.1604923451
125	0.1603253919
126	0.1602402653
127	0.1601488573
128	0.1599975536
129	0.1598463554
130	0.1597154491
131	0.1595986497
132	0.1594710976
133	0.1593485082
134	0.1592423746
135	0.1591717548
136	0.1590319611
137	0.1589551658
138	0.1587467267
139	0.1585972184
140	0.1584266161
141	0.1582218772
142	0.1580697159
143	0.1578964027
144	0.1578215044
145	0.1576466027
146	0.1575708935
147	0.1574304812
148	0.1572890256
149	0.157149125
150	0.1570882317
151	0.1569549798
152	0.1568297287
153	0.1567291131
154	0.1566825706
155	0.1566083923
156	0.156526861
157	0.1564969674
158	0.1563977498
159	0.1563476337
160	0.1562514323
161	0.156144198
162	0.1560516961
163	0.1559663695
164	0.1558941552
165	0.1558420224
166	0.1557427511
167	0.1557155463
168	0.1555717884
169	0.1555459093
170	0.1554848993
171	0.1553866203
172	0.1552943958
173	0.1552110964
174	0.1550814398
175	0.1550440764
176	0.1550091503
177	0.1549620235
178	0.1548943659
179	0.1548495154
180	0.1547842818
181	0.1547722765
182	0.1547569512
183	0.1547203022
184	0.1546206251
185	0.1545612243
186	0.1545356892
187	0.154463961
188	0.1544403234
189	0.1543428074
190	0.1543007825
191	0.154236872
192	0.1542285427
193	0.1541644402
194	0.1541058227
195	0.1540539634
196	0.1539974491
197	0.1539827804
198	0.1539037958
199	0.1538474625
200	0.1537575489
201	0.1536937488
202	0.15362617
203	0.1535910419
204	0.1535503942
205	0.1535129851
206	0.1534364422
207	0.1533695225
208	0.1533195367
209	0.1532637165
210	0.1532249452
211	0.1531477105
212	0.1530932782
213	0.153072942
214	0.1530364006
215	0.1529652666
216	0.152893058
217	0.1528634964
218	0.1528142058
219	0.1527423538
220	0.1527185522
221	0.1526522964
222	0.1525992914
223	0.1525716576
224	0.1525116305
225	0.1524712325
226	0.1523903042
227	0.1523700822
228	0.1523429602
229	0.1523132286
230	0.1522967182
231	0.1522796153
232	0.1522397973
233	0.1522144694
234	0.1521708862
235	0.1521362753
236	0.1520851102
237	0.1520422718
238	0.152015433
239	0.1519632748
240	0.1518967814
241	0.1518484683
242	0.151824207
243	0.1518143077
244	0.1517771301
245	0.1517498865
246	0.1516882487
247	0.1516441037
248	0.1516164979
249	0.1515923294
250	0.1515861101
251	0.15153196
252	0.1514322626
253	0.1513712073
254	0.1513518619
255	0.1512792854
256	0.1512226527
257	0.1511785323
258	0.1511085608
259	0.1510737276
260	0.1510665113
261	0.1510478254
262	0.1509937995
263	0.1509545844
264	0.1509137591
265	0.150868458
266	0.1508534334
267	0.1508301467
268	0.1508276648
269	0.1507873307
270	0.1507308692
271	0.1507044532
272	0.1506856309
273	0.1506419091
274	0.150584687
275	0.1505416052
276	0.1504819641
277	0.1504077108
278	0.1503685427
279	0.1503633825
280	0.1503596088
281	0.1503250868
282	0.1502891438
283	0.1502602234
284	0.1502437536
285	0.1502254818
286	0.1501849258
287	0.1501571837
288	0.1501042603
289	0.1501042558
290	0.1500652988
291	0.150028139
292	0.1500196849
293	0.1499422055
294	0.1499014213
295	0.1498555552
296	0.1498217258
297	0.1497974506
298	0.1497377791
299	0.1496749793
300	0.1496157573
301	0.1495770078
302	0.149535902
303	0.1494936911
304	0.1494538644
305	0.149406697
306	0.1493846256
307	0.1493448933
308	0.1493211372
309	0.1492810112
310	0.1492283568
311	0.1491965565
312	0.1491461033
313	0.1491325571
314	0.1491109546
315	0.1490423314
316	0.1490185241
317	0.1489867478
318	0.1489662591
319	0.1489097351
320	0.1488977486
321	0.1488792678
322	0.1488503771
323	0.1488168013
324	0.1487871779
325	0.1487380498
326	0.1487107067
327	0.1486737032
328	0.1486531867
329	0.1485956483
330	0.1485709279
331	0.1485609875
332	0.1485231231
333	0.1484675276
334	0.1484417741
335	0.1484272336
336	0.148410405
337	0.1483875198
338	0.1483720113
339	0.1483643335
340	0.1483233814
341	0.1482886134
342	0.1482689029
343	0.1482432615
344	0.1482256923
345	0.1481879127
346	0.1481613985
347	0.1481505123
348	0.148117417
349	0.1480972531
350	0.1480633152
351	0.1480442652
352	0.1480349701
353	0.1480044233
354	0.1479972497
